txn_id,date,amount,description,reference,counterparty,bank_code
BTX-00030,2026-08-11,-255.05,Notion Labs PAYMENT INV-11581,INV-11581,Notion Labs,
BTX-00077,2026-08-10,-5437.99,Baker McKenzie PAYMENT INV-78578,INV-78578,Baker McKenzie,
BTX-00057,2026-08-21,-467.57,Slack Technologies PAYMENT INV-53583,INV-53583,Slack Technologies,
BTX-00114,2026-08-13,-201.36,Figma FX SETTLEMENT,INV-77703,Figma,
BTX-00026,2026-08-28,9269.52,Stripe Payouts PAYMENT INV-75078,INV-75078,Stripe Payouts,
BTX-00047,2026-08-12,-523.90,Slack Technologies PAYMENT INV-79807,INV-79807,Slack Technologies,
BTX-00105,2026-08-26,6970.66,CASH DEPOSIT - PayPal Settlement,,PayPal Settlement,DEP
BTX-00067,2026-08-21,-86000.00,Gusto Payroll PAYMENT INV-65132,INV-65132,Gusto Payroll,
BTX-00042,2026-08-03,-5629.32,Baker McKenzie PAYMENT INV-28889,INV-28889,Baker McKenzie,
BTX-00001,2026-08-13,26285.26,Globex Industries PAYMENT INV-95319,INV-95319,Globex Industries,
BTX-00074,2026-08-28,-873.15,Marriott PAYMENT INV-18305,INV-18305,Marriott,
BTX-00072,2026-08-04,-3225.82,Baker McKenzie PAYMENT INV-83439,INV-83439,Baker McKenzie,
BTX-00080,2026-08-09,9710.91,Stripe Payouts PAYMENT INV-97749,INV-97749,Stripe Payouts,
BTX-00096,2026-08-19,27232.35,Globex Industries BATCH REMITTANCE,,Globex Industries,
BTX-00116,2026-08-19,-403.77,Snowflake FX SETTLEMENT,INV-20022,Snowflake,
BTX-00111,2026-08-10,-37.77,FX CONVERSION MARKUP,,BANK,FEE
BTX-00008,2026-08-22,23603.84,Acme Corp PAYMENT INV-25439,INV-25439,Acme Corp,
BTX-00113,2026-08-09,-227.56,CARD MERCHANT FEE,,BANK,FEE
BTX-00003,2026-08-07,-316.64,Google Cloud Platform PAYMENT INV-14914,INV-14914,Google Cloud Platform,
BTX-00086,2026-08-15,-3039.93,Amazon Web Services PAYMENT INV-67731,INV-67731,Amazon Web Services,
BTX-00046,2026-08-11,-786.09,Snowflake PAYMENT INV-77947,INV-77947,Snowflake,
BTX-00023,2026-08-15,-1330.42,Marriott PAYMENT INV-97641,INV-97641,Marriott,
BTX-00043,2026-08-20,21450.18,Globex Industries PAYMENT INV-31160,INV-31160,Globex Industries,
BTX-00115,2026-08-21,-1054.38,Marriott FX SETTLEMENT,INV-36116,Marriott,
BTX-00005,2026-08-20,-2268.77,Delta Air Lines PAYMENT INV-26226,INV-26226,Delta Air Lines,
BTX-00050,2026-08-24,-1820.21,LinkedIn Ads PAYMENT INV-13798,INV-13798,LinkedIn Ads,
BTX-00019,2026-08-29,-86000.00,Gusto Payroll PAYMENT INV-51123,INV-51123,Gusto Payroll,
BTX-00106,2026-08-28,23900.88,CASH DEPOSIT - Globex Industries,,Globex Industries,DEP
BTX-00045,2026-08-27,-1103.51,Google Ads PAYMENT INV-79220,INV-79220,Google Ads,
BTX-00040,2026-08-13,-12400.00,WeWork PAYMENT INV-55533,INV-55533,WeWork,
BTX-00108,2026-08-20,-13.40,ACH RETURN FEE,,BANK,FEE
BTX-00092,2026-08-10,7959.09,Stripe Payouts BATCH REMITTANCE,,Stripe Payouts,
BTX-00090,2026-08-30,-90.46,Notion Labs PAYMENT INV-98601,INV-98601,Notion Labs,
BTX-00038,2026-08-20,-2051.49,Amazon Web Services PAYMENT INV-23299,INV-23299,Amazon Web Services,
BTX-00122,2026-08-13,-692.95,Slack Technologies PAYMENT INV-10228,INV-10228,Slack Technologies,
BTX-00076,2026-08-19,-597.94,Datadog PAYMENT INV-76605,INV-76605,Datadog,
BTX-00073,2026-08-06,6273.94,Stripe Payouts PAYMENT INV-22811,INV-22811,Stripe Payouts,
BTX-00125,2026-08-13,100.63,REVERSAL OF ERRONEOUS DEBIT,,BANK,INT
BTX-00112,2026-08-01,-902.94,PROCESSING FEE STRIPE,,BANK,FEE
BTX-00002,2026-08-08,-585.96,Snowflake PAYMENT INV-57931,INV-57931,Snowflake,
BTX-00127,2026-08-14,15.71,INTEREST PAID,,BANK,INT
BTX-00091,2026-08-09,34040.00,Globex Industries BATCH REMITTANCE,,Globex Industries,
BTX-00084,2026-08-19,-271.45,Slack Technologies PAYMENT INV-62928,INV-62928,Slack Technologies,
BTX-00024,2026-08-16,-436.40,Amazon Web Services PAYMENT INV-32026,INV-32026,Amazon Web Services,
BTX-00075,2026-08-21,18471.90,Globex Industries PAYMENT INV-89447,INV-89447,Globex Industries,
BTX-00068,2026-08-17,-171.09,Notion Labs PAYMENT INV-76918,INV-76918,Notion Labs,
BTX-00119,2026-08-14,-6578.86,CDW PAYMENT INV-40327,INV-40327,CDW,
BTX-00102,2026-08-06,4504.80,STRIPE PAYOUT - DAILY SETTLEMENT,,Stripe Payouts,
BTX-00060,2026-08-09,-469.27,Marriott PAYMENT INV-90160,INV-90160,Marriott,
BTX-00012,2026-08-20,-839.41,Datadog PAYMENT INV-66045,INV-66045,Datadog,
BTX-00006,2026-08-22,-86000.00,Gusto Payroll PAYMENT INV-86748,INV-86748,Gusto Payroll,
BTX-00070,2026-08-24,-678.08,Slack Technologies PAYMENT INV-25772,INV-25772,Slack Technologies,
BTX-00013,2026-08-17,-833.82,Marriott PAYMENT INV-57393,INV-57393,Marriott,
BTX-00087,2026-08-24,-12400.00,WeWork PAYMENT INV-48725,INV-48725,WeWork,
BTX-00009,2026-08-22,29530.81,Acme Corp PAYMENT INV-33688,INV-33688,Acme Corp,
