entry_id,date,amount,account_code,account_name,description,reference,vendor
GL-00066,2026-08-02,-548.09,6500,Travel & Meals,Delta Air Lines - INV-56371,INV-56371,Delta Air Lines
GL-00096,2026-08-09,1822.65,4000,Product Revenue,Stripe Payouts - INV-39151,INV-39151,Stripe Payouts
GL-00121,2026-08-02,426.18,4000,Product Revenue,Order INV-44503,INV-44503,Stripe Payouts
GL-00017,2026-08-11,-2033.78,6500,Travel & Meals,Delta Air Lines - INV-29920,INV-29920,Delta Air Lines
GL-00074,2026-08-25,-873.15,6500,Travel & Meals,Marriott - INV-18305,INV-18305,Marriott
GL-00036,2026-08-03,-12400.00,6400,Rent & Facilities,WeWork - INV-37363,INV-37363,WeWork
GL-00085,2026-08-11,-1965.45,6500,Travel & Meals,Delta Air Lines - INV-22084,INV-22084,Delta Air Lines
GL-00117,2026-08-13,789.31,4000,Product Revenue,Order INV-97889,INV-97889,Stripe Payouts
GL-00023,2026-08-13,-1330.42,6500,Travel & Meals,Marriott - INV-97641,INV-97641,Marriott
GL-00043,2026-08-16,21450.18,4000,Product Revenue,Globex Industries - INV-31160,INV-31160,Globex Industries
GL-00015,2026-08-16,-86000.00,6600,Payroll & Contractors,Gusto Payroll - INV-55020,INV-55020,Gusto Payroll
GL-00164,2026-08-06,-1078.60,6000,Software & Subscriptions,INV-64549 (DUPLICATE ENTRY),INV-64549,
GL-00049,2026-08-24,15365.83,4000,Product Revenue,Stripe Payouts - INV-39719,INV-39719,Stripe Payouts
GL-00126,2026-08-02,231.28,4000,Product Revenue,Order INV-33980,INV-33980,Stripe Payouts
GL-00099,2026-08-05,4741.29,4100,Services Revenue,Initech LLC - INV-41252,INV-41252,Initech LLC
GL-00037,2026-08-20,-700.85,6000,Software & Subscriptions,Slack Technologies - INV-16891,INV-16891,Slack Technologies
GL-00016,2026-08-03,31576.28,4000,Product Revenue,Acme Corp - INV-25475,INV-25475,Acme Corp
GL-00062,2026-08-01,-4784.38,6200,Advertising & Marketing,Google Ads - INV-95154,INV-95154,Google Ads
GL-00035,2026-08-13,-12400.00,6400,Rent & Facilities,WeWork - INV-23570,INV-23570,WeWork
GL-00059,2026-08-01,-64.96,6000,Software & Subscriptions,Slack Technologies - INV-29811,INV-29811,Slack Technologies
GL-00138,2026-08-17,378.04,4000,Product Revenue,Order INV-52747,INV-52747,Stripe Payouts
GL-00156,2026-08-15,-401.99,6050,Cloud & Hosting,Snowflake FX INVOICE INV-20022,INV-20022,Snowflake
GL-00045,2026-08-25,-1103.51,6200,Advertising & Marketing,Google Ads - INV-79220,INV-79220,Google Ads
GL-00103,2026-08-17,3597.06,4000,Product Revenue,Globex Industries - INV-55482,INV-55482,Globex Industries
GL-00018,2026-08-22,-2312.96,6500,Travel & Meals,Delta Air Lines - INV-20173,INV-20173,Delta Air Lines
GL-00056,2026-08-26,-89.66,6000,Software & Subscriptions,Figma - INV-36125,INV-36125,Figma
GL-00069,2026-08-20,-518.76,6500,Travel & Meals,Marriott - INV-10515,INV-10515,Marriott
GL-00094,2026-08-05,11274.91,4000,Product Revenue,Globex Industries - INV-34031,INV-34031,Globex Industries
GL-00119,2026-08-13,252.09,4000,Product Revenue,Order INV-48411,INV-48411,Stripe Payouts
GL-00113,2026-08-13,57.19,4000,Product Revenue,Order INV-91978,INV-91978,Stripe Payouts
GL-00080,2026-08-07,9710.91,4000,Product Revenue,Stripe Payouts - INV-97749,INV-97749,Stripe Payouts
GL-00107,2026-08-16,7765.27,4100,Services Revenue,Initech LLC - INV-23930,INV-23930,Initech LLC
GL-00128,2026-08-02,116.73,4000,Product Revenue,Order INV-46559,INV-46559,Stripe Payouts
GL-00143,2026-08-05,164.11,4000,Product Revenue,Order INV-78649,INV-78649,Stripe Payouts
GL-00163,2026-08-05,-1078.60,6000,Software & Subscriptions,Datadog - INV-64549,INV-64549,Datadog
GL-00052,2026-08-24,-465.87,6500,Travel & Meals,Marriott - INV-55812,INV-55812,Marriott
GL-00129,2026-08-17,216.84,4000,Product Revenue,Order INV-76156,INV-76156,Stripe Payouts
GL-00079,2026-08-15,-2130.00,6500,Travel & Meals,Delta Air Lines - INV-51416,INV-51416,Delta Air Lines
GL-00020,2026-08-19,10821.18,4100,Services Revenue,Initech LLC - INV-69795,INV-69795,Initech LLC
GL-00110,2026-08-18,9893.61,4000,Product Revenue,Globex Industries - INV-40089,INV-40089,Globex Industries
GL-00130,2026-08-17,708.68,4000,Product Revenue,Order INV-21908,INV-21908,Stripe Payouts
GL-00075,2026-08-17,18471.90,4000,Product Revenue,Globex Industries - INV-89447,INV-89447,Globex Industries
GL-00042,2026-08-03,-5629.32,6300,Professional Fees,Baker McKenzie - INV-28889,INV-28889,Baker McKenzie
GL-00137,2026-08-17,607.20,4000,Product Revenue,Order INV-88192,INV-88192,Stripe Payouts
GL-00013,2026-08-15,-833.82,6500,Travel & Meals,Marriott - INV-57393,INV-57393,Marriott
